TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
16896873,0.00105668,-0.0006750291,0.0004400752,-0.1336792,-0.1244566,-9.788271
16916303,0.001344703,-0.000632529,0.0005898844,-0.1301688,-0.1292048,-9.788428
16936238,0.001603738,-0.0007781014,0.0005449512,-0.1261414,-0.1315615,-9.793701
16956290,0.001269048,-0.0007186256,0.0005292206,-0.1327264,-0.1353672,-9.795585
16976189,0.0006991493,-0.0006619368,0.0004492141,-0.1353475,-0.1382222,-9.789348
16996564,0.0006319762,-0.0009487676,0.0003875283,-0.1217359,-0.1339498,-9.774875
17016459,0.0007641635,-0.001456968,0.0002471069,-0.1277008,-0.1356724,-9.781838
17036228,0.0004775773,-0.001747599,-6.134935e-05,-0.1355199,-0.1405279,-9.79578
17056272,0.0002104693,-0.001924863,-0.0002597221,-0.1383459,-0.1358978,-9.791782
17076188,0.0003920773,-0.001794858,-0.0002871849,-0.14115,-0.127298,-9.781162
17096577,0.0003786991,-0.001096047,-1.924988e-05,-0.1328499,-0.137375,-9.772864
17116265,0.0004878903,-0.0005632773,0.0004039753,-0.126164,-0.1412609,-9.783571
17136225,0.0003825403,-9.077394e-05,0.0006501802,-0.1336653,-0.1326835,-9.782122
17156242,0.0002224032,-0.0001266663,0.0007618928,-0.1414947,-0.1255202,-9.782579
17176374,0.0002278985,-7.573484e-05,0.000564213,-0.1390363,-0.128225,-9.780173
17196618,0.0001031295,-0.0004642701,0.0003021252,-0.1336317,-0.1348649,-9.780646
17216219,-0.0001843852,-0.0007773685,4.157265e-05,-0.1273435,-0.1330628,-9.776293
17236229,4.312187e-06,-0.001118632,5.965018e-05,-0.1273928,-0.1273219,-9.780012
17256282,0.0003262077,-0.001653463,0.0001738263,-0.1363084,-0.1328983,-9.788134
17276194,0.0005152228,-0.002238694,0.0005346216,-0.1410295,-0.135535,-9.784002
17296585,0.0006686741,-0.002354854,0.0005307281,-0.1371854,-0.1236732,-9.791301
17316225,0.000776829,-0.002039311,0.0003734339,-0.1308567,-0.1239735,-9.779936
17336387,0.0007984216,-0.00208153,0.0002499971,-0.1312412,-0.1292751,-9.778345
17356294,0.001026917,-0.002091,5.2614e-05,-0.13353,-0.1311106,-9.792194
17376197,0.001212339,-0.002045352,1.77389e-05,-0.138073,-0.1315962,-9.789632
17396615,0.001188104,-0.001686101,6.13632e-05,-0.1300901,-0.1234949,-9.781657
17416272,0.001100092,-0.001603005,0.0001333503,-0.1156229,-0.1274459,-9.776146
17436279,0.001096593,-0.001534169,0.0001878529,-0.1236969,-0.1310763,-9.779088
17456237,0.00123825,-0.001268844,0.0002871288,-0.1364728,-0.1267276,-9.790493
17476206,0.001333431,-0.00120847,0.0003671774,-0.1495751,-0.131389,-9.789175
17496805,0.001446545,-0.001064011,0.0003181307,-0.1449581,-0.1313114,-9.778539
17516246,0.00118997,-0.0006192626,0.0002468869,-0.1317349,-0.1195727,-9.77048
17536197,0.0009718929,-0.0005938559,0.0002241653,-0.1310697,-0.1227044,-9.777494
17556233,0.0008013623,-0.0001681931,0.0002827215,-0.125476,-0.1284815,-9.79265
17576224,0.000960835,2.030555e-05,0.0001588144,-0.1209992,-0.1280205,-9.782055
17596557,0.001063555,0.0005828533,-0.0001534478,-0.1343248,-0.1320431,-9.784009
17616277,0.000954028,0.0007484501,-9.723737e-05,-0.1421369,-0.1336691,-9.794771
17636243,0.0007980265,0.0002643396,0.0001034253,-0.1374827,-0.1241728,-9.797697
17656459,0.0008883538,-0.0006515451,0.0003646013,-0.1312228,-0.1163737,-9.796242
17676226,0.0009884785,-0.001037254,0.0003853095,-0.1254343,-0.1107678,-9.786116
17696646,0.001003334,-0.001145417,7.691328e-05,-0.1262691,-0.1139311,-9.784864
17716261,0.0009027467,-0.001489174,-0.0003906531,-0.1278259,-0.1253203,-9.787868
17736237,0.00116898,-0.001900054,-0.0006249512,-0.1456362,-0.1337382,-9.77759
17756266,0.001164053,-0.001883048,-0.0005594217,-0.1458716,-0.1316379,-9.778297
17776216,0.001114172,-0.001478495,-0.0002303384,-0.1470308,-0.1395111,-9.785408
17796651,0.0007398146,-0.000763124,0.0001746248,-0.1323294,-0.1309798,-9.797917
17816489,0.000435383,-0.0002528943,0.0003663122,-0.1049367,-0.1198793,-9.794297
17836285,6.032259e-06,0.0002394054,7.616787e-05,-0.1133172,-0.1227052,-9.783804
17856356,-0.0001718146,0.0006872841,-0.0003395276,-0.1240465,-0.1356689,-9.779302
17876239,-0.0003533533,0.0005034637,-0.0005349506,-0.1245767,-0.1296323,-9.783645
17896634,-0.0003415616,-0.0001089197,-0.0006434589,-0.1166944,-0.1298386,-9.780329
17916310,-0.0004073046,-0.0004239756,-0.0003691605,-0.1220541,-0.138508,-9.777043
17936229,-0.0003399926,-0.0010675,0.0003292332,-0.1299091,-0.1432675,-9.779909
17956272,-0.0001390581,-0.001547028,0.001108654,-0.1381796,-0.1389051,-9.786209
17976443,0.0002594366,-0.001930217,0.00192887,-0.1357492,-0.1323337,-9.79163
17996650,0.0005432219,-0.001921487,0.002718791,-0.1216886,-0.1228271,-9.794879
18016239,0.0008756552,-0.001660734,0.003093744,-0.1157287,-0.1260241,-9.787928
18036220,0.001375548,-0.00141801,0.003085464,-0.1162142,-0.1477799,-9.788052
18056277,0.001698955,-0.0008629284,0.003207584,-0.1302947,-0.1378111,-9.796349
18076226,0.001335917,-0.000857103,0.002773047,-0.1292596,-0.09529871,-9.804791
18096582,0.0008711032,-0.0006309407,0.001243776,-0.1297663,-0.0771791,-9.800024
18116263,0.000846061,-0.001240432,-0.0008876701,-0.1695877,-0.1326846,-9.786766
18136431,0.001256395,-0.001366431,-0.00143383,-0.1902965,-0.1972681,-9.782598
18156291,0.001451383,-0.0007903776,-7.68648e-05,-0.1684568,-0.1449141,-9.792645
18176249,0.001127018,-0.0003092338,0.0003934818,-0.1232488,-0.0740639,-9.798435
18196593,0.0003670373,-0.0002121106,-0.0008887617,-0.1014564,-0.1238021,-9.78296
