TimeUS,Roll,Pitch,Yaw,VN,VE,VD
16895542,-1.26,1.5,0.06,-0.02450549,0.07988796,0.01529
16915687,-1.26,1.51,0.06,-0.02472917,0.08057808,0.01546299
16935554,-1.26,1.51,0.06,-0.02489725,0.08137269,0.01528359
16955598,-1.26,1.51,0.06,-0.02522851,0.08203363,0.01522212
16975584,-1.25,1.51,0.06,-0.02536513,0.08263967,0.01559204
16995554,-1.25,1.5,0.06,-0.02520442,0.08333181,0.01620418
17015572,-1.25,1.5,0.06,-0.02555738,0.08396842,0.01616705
17035558,-1.25,1.5,0.06,-0.02600644,0.08443573,0.01602659
17055598,-1.25,1.5,0.06,-0.02624428,0.08540427,0.01638729
17075540,-1.25,1.5,0.06,-0.026707,0.08617402,0.01683066
17095554,-1.25,1.5,0.06,-0.02651271,0.08654059,0.0172176
17115605,-1.25,1.5,0.06,-0.02690251,0.08731379,0.01724862
17135554,-1.25,1.51,0.06,-0.02731794,0.08824322,0.01777888
17155574,-1.25,1.5,0.06,-0.02775835,0.08911262,0.01774499
17175539,-1.25,1.51,0.06,-0.02805116,0.08970156,0.018027
17195605,-1.25,1.5,0.06,-0.02803483,0.09033241,0.01807082
17215591,-1.25,1.5,0.06,-0.02820113,0.09135201,0.01825684
17235555,-1.25,1.5,0.06,-0.02826142,0.09218309,0.0183128
17255575,-1.25,1.5,0.06,-0.02872181,0.09268167,0.01836446
17275554,-1.24,1.5,0.06,-0.02909074,0.09346567,0.0184885
17295604,-1.24,1.5,0.06,-0.02939167,0.09455844,0.01833625
17315573,-1.24,1.5,0.06,-0.02934816,0.09529807,0.01898895
17335559,-1.24,1.49,0.06,-0.02967696,0.09614256,0.01901418
17355579,-1.24,1.49,0.06,-0.02980096,0.09686869,0.01902134
17375565,-1.24,1.49,0.06,-0.03016873,0.09780353,0.01922672
17395555,-1.24,1.5,0.06,-0.03003853,0.09877581,0.01954365
17415581,-1.23,1.49,0.06,-0.02983035,0.09958387,0.01987369
17435579,-1.23,1.49,0.06,-0.03007779,0.1003729,0.01982834
17455613,-1.23,1.49,0.06,-0.03057024,0.1014233,0.01954964
17475539,-1.23,1.49,0.06,-0.03122628,0.1020781,0.01983918
17495560,-1.23,1.49,0.06,-0.03130801,0.1030326,0.02026417
17515647,-1.23,1.49,0.06,-0.03148215,0.1041904,0.02066944
17535577,-1.22,1.49,0.06,-0.03160225,0.1050183,0.02068025
17555558,-1.22,1.5,0.06,-0.03156499,0.1059019,0.02074474
17575554,-1.22,1.5,0.06,-0.03167935,0.1067542,0.02110428
17595568,-1.22,1.5,0.06,-0.03208755,0.1074605,0.0210064
17615647,-1.22,1.5,0.06,-0.03242717,0.1083343,0.02077764
17635560,-1.22,1.5,0.06,-0.03263557,0.1095486,0.02065475
17655568,-1.22,1.5,0.06,-0.03285212,0.1107447,0.02069599
17675582,-1.21,1.5,0.06,-0.03269685,0.1119316,0.02091468
17695556,-1.21,1.5,0.06,-0.03110524,0.1076565,0.02090603
17715581,-1.22,1.49,0.06,-0.02987558,0.1035417,0.02100411
17735540,-1.22,1.49,0.06,-0.02904004,0.09958652,0.02130654
17755591,-1.23,1.49,0.06,-0.02804142,0.09610277,0.0214816
17775571,-1.23,1.49,0.06,-0.02730735,0.09251256,0.02129876
17795541,-1.24,1.49,0.06,-0.02539689,0.0887743,0.02108832
17815581,-1.24,1.49,0.06,-0.02346863,0.08507608,0.02105196
17835587,-1.25,1.49,0.06,-0.02233519,0.08144978,0.02136152
17855611,-1.26,1.49,0.06,-0.02111743,0.07800945,0.02132851
17875557,-1.27,1.49,0.06,-0.01968476,0.07513209,0.02132589
17895586,-1.27,1.48,0.06,-0.01833577,0.0715249,0.02166447
17915611,-1.28,1.48,0.06,-0.01722966,0.06812099,0.02173141
17935546,-1.28,1.48,0.06,-0.01629512,0.06491946,0.02179563
17955578,-1.29,1.47,0.07,-0.01554455,0.06228034,0.02180443
17975587,-1.29,1.47,0.07,-0.01456713,0.05976531,0.02165005
17995583,-1.3,1.47,0.07,-0.01315317,0.05743453,0.02132132
18015581,-1.3,1.47,0.08,-0.01235133,0.05484809,0.02145006
18035541,-1.3,1.47,0.08,-0.01134876,0.05187798,0.02143532
18055581,-1.3,1.47,0.08,-0.01063765,0.05023625,0.02072378
18075581,-1.31,1.46,0.08,-0.009702004,0.04981367,0.02054332
18095558,-1.31,1.46,0.07,-0.009540721,0.04872095,0.02015058
18115634,-1.31,1.46,0.07,-0.01019097,0.04483675,0.0205428
18135555,-1.31,1.46,0.08,-0.01046378,0.0422225,0.02046506
18155573,-1.31,1.46,0.08,-0.01006464,0.0419505,0.02011686
18175556,-1.32,1.46,0.07,-0.008834715,0.04233645,0.02007804
18195558,-1.32,1.46,0.07,-0.007681919,0.03883648,0.02017177
18215623,-1.32,1.46,0.07,-0.005693549,0.03735295,0.02019027
18235541,-1.32,1.46,0.07,-0.00506124,0.0374218,0.01945762
