TimeUS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,VN,VE,VD,V_horiz_m_s,V_3D_m_s,KE_horiz_J,KE_3D_J
31116221,-0.1975459,-0.2194719,-9.783074,0.0008728971,-0.0005700489,0.0005698288,0.0003643062,-0.005173864,-0.006982211,0.005186674049702221,0.008697865148780787,0.00016073698649468027,0.00045202582742459314
31136222,-0.2066113,-0.2209506,-9.789055,0.001225289,-0.001390729,0.0004960646,0.0003157402,-0.005034618,-0.007242691,0.005044508923554407,0.008826304051034104,0.00015204624492192476,0.0004654742681277737
31156261,-0.2018322,-0.219179,-9.786067,0.001091412,-0.001836064,0.0004417313,0.0004352881,-0.005030057,-0.007107344,0.005048856222279519,0.008718101162958973,0.0001523084211906724,0.00045413159512832995
31176243,-0.2012616,-0.2157239,-9.781568,0.001066394,-0.002219961,0.0003064158,0.00045184,-0.004912648,-0.007079855,0.004933383195891436,0.008629172415621849,0.00014542116180108638,0.0004449141340567108
31196554,-0.2042897,-0.2169222,-9.791855,0.001067196,-0.00233353,0.0002851678,0.0004697348,-0.004776002,-0.007750305,0.0047990463517593816,0.009115814471530233,0.0001376093041708518,0.0004965109890391761
31216236,-0.1974295,-0.215647,-9.780245,0.0006869836,-0.002249383,0.0002092197,0.0007041713,-0.004725581,-0.00697785,0.004777758157054906,0.008456793933270734,0.00013639116371864555,0.000427316247688083
31236237,-0.2019711,-0.2070799,-9.774263,0.0006590429,-0.001845145,0.0001107417,0.0008665473,-0.004307665,-0.007183097,0.004393959714808761,0.008420437309710897,0.00011535861980278966,0.00042364999280845845
31256453,-0.1974317,-0.2076341,-9.788358,0.0008008486,-0.001726848,2.44272e-05,0.000984581,-0.004303639,-0.007377321,0.004414828239907188,0.00859741667740508,0.00011645698261759494,0.0004416455518114149
31276196,-0.2023636,-0.2169464,-9.789366,0.0008388679,-0.001747483,-4.697952e-05,0.0009324253,-0.004266799,-0.007364748,0.004367492489573519,0.008562388904387904,0.00011397306911272451,0.00043805415990616085
31296562,-0.2059952,-0.2188265,-9.78681,0.0008432237,-0.001873147,-9.88237e-05,0.001016365,-0.004309413,-0.007501364,0.004427644770958257,0.008710596998959945,0.00011713412835131912,0.0004533501379677828
31316240,-0.2012396,-0.2261809,-9.790811,0.001101582,-0.001663643,-8.898399e-05,0.001208088,-0.004294309,-0.007799906,0.004461005088903732,0.008985493865785062,0.00011890588425926934,0.00048241612257206437
31336214,-0.1981638,-0.2235046,-9.798132,0.00135348,-0.001668481,-1.374893e-06,0.001273892,-0.004482645,-0.007936735,0.004660140236483126,0.009203731280514117,0.0001297585194665418,0.0005061343001663863
31356237,-0.2033996,-0.2241856,-9.792853,0.001285146,-0.001847421,0.000195889,0.001274018,-0.004324222,-0.008215231,0.004507994872402585,0.009370807764166812,0.00012142405617340776,0.0005246769279639898
31376224,-0.2057491,-0.2101244,-9.788507,0.001193398,-0.001734645,0.0004030724,0.001429602,-0.004027705,-0.007906288,0.004273893944101679,0.008987522427475383,0.00010914036243643829,0.0004826339673216286
31396572,-0.2013531,-0.2149579,-9.777603,0.0006660964,-0.001200135,0.0005819065,0.001682089,-0.004260321,-0.00805498,0.004580366625823964,0.009266199934566597,0.00012535405660109793,0.000513028205833488
31416425,-0.2055062,-0.2179716,-9.795864,0.0003964542,-0.0008085156,0.0008040623,0.001542093,-0.003992511,-0.008479499,0.004279976040326628,0.009498426090504206,0.00010945121456197575,0.0005390650867257067
