t_center_s,dt_contact_s,a_xy_peak_m_s2,dv_h_endpoints_m_s,dv_h_integral_m_s,F_peak_N,F_avg_from_impulse_N,v_before_m_s,v_after_m_s,i_seed
51.919999,0.040073,14.5749,0,0,174.2,0,0.265,0.3665,2594
131.700036,0.019955,44.5833,0,0,532.8,0,1.3698,1.4642,6583
230.519987,0.360173,5.3763,0,0,64.2,0,0.5334,1.022,7236
300.900021,0.020115,4.4731,0,0,53.5,0,1.4311,1.4311,8289
360.119992,0.219403,13.6734,0,0,163.4,0,1.6618,1.8863,8960
436.480352,0.4,8.7597,0.9964,1.0137,104.7,30.3,1.4665,0.4701,10360
437.699978,0.039649,16.0676,0.6292,0.4781,192,189.6,1.008,0.3788,10420
439.219991,0.01997,12.5527,0,0.0634,150,37.9,0.8021,0.8321,10494
450.300018,0.019982,27.3059,0.0157,0.1236,326.3,73.9,0.5247,0.5089,11049
451.600009,0.02002,6.0346,0,0,72.1,0,0.7647,0.7647,11106
461.280338,0.01969,16.0394,0.0744,0.1141,191.7,69.2,1.0726,0.9982,11598
,,,,,,,,,
mean,0.059792,22.04075,0.119883333,0.1193,263.4,55.45,0.98365,0.933816667,8534
,,,,,,,,,
std dev,,,,,139.2489628,,,,
