TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
23001936,0.001350299,0.0009400843,-0.0002490166,-0.3464278,-0.7123697,-9.839926
23021811,0.001862682,0.000452319,-0.0001269926,-0.3525411,-0.7086002,-9.851413
23042096,0.002031975,0.0002323043,-7.799015e-05,-0.3502098,-0.7094875,-9.857529
23061741,0.002102088,-3.677863e-06,-1.108089e-05,-0.342777,-0.7142724,-9.850798
23082006,0.001774692,-0.0003095488,0.0002849013,-0.3390948,-0.7198899,-9.836101
23101745,0.001472091,-0.0005744724,0.0004804446,-0.3425194,-0.7201212,-9.829254
23121765,0.001256309,-0.0009319559,0.0005026236,-0.3413114,-0.7160869,-9.818264
23142131,0.001031255,-0.0009219725,0.000371717,-0.34435,-0.7169522,-9.819784
23161772,0.000866225,-0.0007388676,0.0004158389,-0.35012,-0.7129953,-9.838491
23181784,0.000738391,-0.0008683905,0.0003404572,-0.3507865,-0.714837,-9.848371
23201730,0.0006849078,-0.001134136,0.0003745969,-0.3484229,-0.7156626,-9.854014
23221779,0.0007110853,-0.0009017015,0.0004643396,-0.3224062,-0.7185279,-9.843735
23242367,0.0006947237,-1.00278e-05,0.0004134864,-0.3325525,-0.7193514,-9.833215
23261758,0.0008593334,0.0005726622,0.0002655099,-0.3473255,-0.714469,-9.840046
23281778,0.00110949,0.001127635,9.545829e-05,-0.3410072,-0.7143793,-9.833184
23301757,0.001185476,0.001097508,8.841411e-06,-0.344474,-0.7123211,-9.828588
23321769,0.001216932,0.001082197,-7.610434e-05,-0.3433436,-0.7146887,-9.836364
23342157,0.001246487,0.001201707,-0.0001161903,-0.3444809,-0.7133329,-9.84437
23361727,0.001262954,0.001137854,-0.0002707541,-0.3359771,-0.7194257,-9.834835
23381763,0.001238713,0.0008540243,-0.000222142,-0.3348099,-0.7185313,-9.827052
23401938,0.001438698,0.0006740578,-0.0001333266,-0.3428113,-0.71329,-9.826503
23421770,0.001843719,0.0003604876,-1.344603e-05,-0.3431311,-0.71656,-9.827147
23442165,0.002009046,0.0001866156,8.162852e-05,-0.3519964,-0.711337,-9.841459
