TimeUS,Roll,Pitch,Yaw,VN,VE,VD
23001140,2.08,0.26,2.14,-0.02222486,0.06213028,-0.06424289
23021191,2.08,0.26,2.14,-0.02267901,0.06283496,-0.06444107
23041120,2.08,0.26,2.14,-0.02291551,0.06344985,-0.06425741
23061093,2.09,0.26,2.14,-0.02298685,0.06392824,-0.06407733
23081199,2.08,0.25,2.14,-0.02317433,0.06427239,-0.06380052
23101145,2.09,0.25,2.14,-0.02325641,0.0648051,-0.06342807
23121157,2.08,0.25,2.14,-0.02338492,0.06537652,-0.06259656
23141090,2.08,0.25,2.14,-0.02383071,0.06586545,-0.06231193
23161165,2.08,0.25,2.14,-0.02414863,0.06646733,-0.06245822
23181172,2.09,0.25,2.14,-0.02438998,0.06703336,-0.06256813
23201140,2.08,0.25,2.14,-0.02452101,0.06754933,-0.0625975
23221111,2.08,0.25,2.14,-0.02384635,0.06807952,-0.06229059
23241145,2.08,0.25,2.14,-0.02448301,0.06852449,-0.06202977
23261151,2.09,0.26,2.14,-0.02456636,0.06920336,-0.06195119
23281171,2.09,0.26,2.14,-0.02455556,0.06974231,-0.06154172
23301089,2.09,0.26,2.14,-0.02488142,0.07038188,-0.0610885
23321161,2.09,0.26,2.14,-0.02508236,0.07092461,-0.0613073
23341143,2.09,0.26,2.14,-0.02537167,0.07147689,-0.06121048
23361143,2.09,0.26,2.14,-0.02529165,0.07194809,-0.06068741
23381124,2.09,0.26,2.14,-0.02540826,0.07248785,-0.06031081
23401094,2.09,0.26,2.14,-0.02574508,0.07307789,-0.06000149
23421156,2.09,0.26,2.14,-0.02593996,0.07367585,-0.05975422
23441141,2.09,0.26,2.14,-0.02641538,0.07437423,-0.05995815
23461082,2.09,0.26,2.14,-0.02665599,0.07497389,-0.06018554
23481188,2.09,0.26,2.14,-0.02679754,0.07535571,-0.05989058
23501139,2.09,0.26,2.14,-0.02711244,0.07605844,-0.0596021
23521155,2.09,0.26,2.14,-0.02719785,0.0768594,-0.05958273
23541094,2.1,0.26,2.14,-0.02747076,0.07730052,-0.05960953
23561176,2.09,0.26,2.14,-0.02760046,0.07785854,-0.05979957
23581165,2.09,0.26,2.14,-0.0277042,0.0783978,-0.05979034
23601148,2.09,0.27,2.14,-0.02846584,0.07917022,-0.05961691
23621126,2.1,0.27,2.14,-0.02903731,0.07968952,-0.05940764
23641106,2.1,0.26,2.14,-0.02938162,0.08039724,-0.05879168
23661113,2.1,0.27,2.14,-0.02983071,0.0812208,-0.05890989
23681160,2.1,0.27,2.14,-0.03026637,0.08160542,-0.05807719
23701120,2.1,0.27,2.14,-0.03049661,0.08229441,-0.05806087
23721132,2.1,0.27,2.14,-0.03091213,0.08285729,-0.05801151
23741114,2.11,0.26,2.14,-0.03113539,0.08352173,-0.05829735
23761137,2.11,0.26,2.14,-0.0313747,0.08392336,-0.05807514
23781152,2.11,0.27,2.14,-0.03163658,0.08461609,-0.05778707
23801092,2.11,0.26,2.14,-0.03133747,0.08511563,-0.05722538
23821163,2.11,0.26,2.14,-0.03159048,0.08574859,-0.05711051
23841112,2.11,0.26,2.14,-0.03154214,0.0862463,-0.05715344
23861108,2.16,0.27,2.21,-0.02655833,0.08634686,-0.06296685
