TimeUS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,VN,VE,VD,V_horiz_m_s,V_3D_m_s,KE_horiz_J,KE_3D_J
23001936,-0.3464278,-0.7123697,-9.839926,0.001350299,0.0009400843,-0.0002490166,-0.02222486,0.06213028,-0.06424289,0.06598572644820999,0.09209378377746297,0.026015843667015547,0.05067555843743936
23021811,-0.3525411,-0.7086002,-9.851413,0.001862682,0.000452319,-0.0001269926,-0.02267901,0.06283496,-0.06444107,0.0668024677147611,0.09281821586050122,0.02666385391437065,0.05147594664327143
23042096,-0.3502098,-0.7094875,-9.857529,0.002031975,0.0002323043,-7.799015e-05,-0.02291551,0.06344985,-0.06425741,0.06746113002005377,0.09316661850411177,0.027192249279906034,0.051863112350856944
23061741,-0.342777,-0.7142724,-9.850798,0.002102088,-3.677863e-06,-1.108089e-05,-0.02298685,0.06392824,-0.06407733,0.06793537474997911,0.09338693357396954,0.027575910475960093,0.05210868819003528
23082006,-0.3390948,-0.7198899,-9.836101,0.001774692,-0.0003095488,0.0002849013,-0.02317433,0.06427239,-0.06380052,0.0683226879393734,0.09347992318958868,0.027891238381384475,0.05221251383620011
23101745,-0.3425194,-0.7201212,-9.829254,0.001472091,-0.0005744724,0.0004804446,-0.02325641,0.0648051,-0.06342807,0.06885173630416375,0.09361453763183901,0.028324855512786146,0.05236299789473743
23121765,-0.3413114,-0.7160869,-9.818264,0.001256309,-0.0009319559,0.0005026236,-0.02338492,0.06537652,-0.06259656,0.06943301700716165,0.09348407979196457,0.028805139508032866,0.05221715721793863
23142131,-0.34435,-0.7169522,-9.819784,0.001031255,-0.0009219725,0.000371717,-0.02383071,0.06586545,-0.06231193,0.07004398791335771,0.09374932993430674,0.02931430745076944,0.052513897757210715
23161772,-0.35012,-0.7129953,-9.838491,0.000866225,-0.0007388676,0.0004158389,-0.02414863,0.06646733,-0.06245822,0.07071818923166656,0.09435089577621508,0.029881347172029657,0.05318999691430085
23181784,-0.3507865,-0.714837,-9.848371,0.000738391,-0.0008683905,0.0003404572,-0.02438998,0.06703336,-0.06256813,0.07133261860670755,0.09488473728154018,0.030402846301807746,0.05379360237969673
23201730,-0.3484229,-0.7156626,-9.854014,0.0006849078,-0.001134136,0.0003745969,-0.02452101,0.06754933,-0.0625975,0.07186231220096526,0.09530287992038332,0.030856046691342273,0.05426876755368603
23221779,-0.3224062,-0.7185279,-9.843735,0.0007110853,-0.0009017015,0.0004643396,-0.02384635,0.06807952,-0.06229059,0.07213507781761173,0.09530785410605466,0.031090729974223578,0.05427443264944848
23242367,-0.3325525,-0.7193514,-9.833215,0.0006947237,-1.00278e-05,0.0004134864,-0.02448301,0.06852449,-0.06202977,0.07276691218143175,0.09561755003488166,0.0316377654628107,0.05462772735117176
23261758,-0.3473255,-0.714469,-9.840046,0.0008593334,0.0005726622,0.0002655099,-0.02456636,0.06920336,-0.06195119,0.07343439983372371,0.09607580872079767,0.03222085119666172,0.055152602102597925
23281778,-0.3410072,-0.7143793,-9.833184,0.00110949,0.001127635,9.545829e-05,-0.02455556,0.06974231,-0.06154172,0.07393892973968247,0.09619952511113608,0.03266511785302196,0.055294733073858404
