TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
23906234,0.003900765,-0.001054333,-3.616797e-06,-0.3213449,-0.7015502,-9.810127
23926311,0.003738777,-0.001403518,0.000142497,-0.3210211,-0.7014762,-9.817644
23945889,0.003853605,-0.001434011,0.0002074616,-0.3156914,-0.6999531,-9.814856
23965924,0.003949516,-0.001025599,0.0003747512,-0.3182031,-0.696323,-9.821029
23985877,0.004297227,-0.0008462526,0.0003633141,-0.314434,-0.6878521,-9.821909
24005988,0.004403173,-0.001190082,0.0002954944,-0.3168693,-0.6841675,-9.836193
24026496,0.004352097,-0.001510361,0.0002349336,-0.325769,-0.694661,-9.837101
24045897,0.004393752,-0.001942942,0.0001455975,-0.3368222,-0.6994848,-9.840144
24065980,0.004234553,-0.00215247,-4.712964e-05,-0.3270995,-0.7037584,-9.828578
24085925,0.003856722,-0.002145837,-0.0001304533,-0.3144256,-0.702524,-9.830652
24105928,0.003953163,-0.002048192,-0.0001945839,-0.3193769,-0.7002408,-9.825677
24126343,0.00407482,-0.001991888,3.22899e-06,-0.328094,-0.6932493,-9.822408
24145935,0.004071304,-0.002118758,0.0002505823,-0.3225099,-0.6960754,-9.811887
24165987,0.004048983,-0.00231525,0.0003015836,-0.323579,-0.6915445,-9.8181
24186093,0.004319775,-0.002540936,0.0004127259,-0.3195172,-0.6922069,-9.818677
24205930,0.004578156,-0.002483728,0.0003222786,-0.3227825,-0.6942911,-9.825605
24226348,0.004491468,-0.002535196,0.0002615195,-0.3302214,-0.697129,-9.837193
24245882,0.004125914,-0.002090956,0.0002921207,-0.328311,-0.7012135,-9.828391
24265987,0.004112735,-0.002173593,0.0002155536,-0.3285744,-0.7043126,-9.825609
24285887,0.003814352,-0.002182551,3.735943e-05,-0.3239939,-0.7093832,-9.817686
24305914,0.003685689,-0.002026107,-0.0002688988,-0.3192807,-0.7068745,-9.808351
24326331,0.003635503,-0.002082758,-0.0003920079,-0.3180493,-0.7075868,-9.819762
24346182,0.003612696,-0.002123706,-0.0004513735,-0.3197058,-0.7065455,-9.84076
24365925,0.003760752,-0.001862077,-0.0004913001,-0.3171253,-0.707912,-9.834196
24385903,0.003949371,-0.001735015,-0.0004329452,-0.3197802,-0.7005617,-9.814984
24405972,0.004041592,-0.001627978,-0.0004353261,-0.318002,-0.6980765,-9.81481
24426328,0.004337709,-0.00174497,-0.0004477941,-0.3101656,-0.7018014,-9.819106
24445904,0.00454903,-0.00152326,-0.0005299299,-0.3212293,-0.6956499,-9.828734
24465935,0.0046448,-0.001322224,-0.0003694211,-0.3151339,-0.6982338,-9.840416
24485908,0.004733271,-0.001203445,-0.0001150544,-0.31878,-0.6997869,-9.837329
24506130,0.004947726,-0.001591311,-2.214837e-05,-0.3236355,-0.6955243,-9.837879
24526304,0.004942492,-0.002139237,-7.335353e-05,-0.3179925,-0.6949083,-9.834997
24545931,0.004501263,-0.002639714,-8.657105e-05,-0.3150214,-0.6917155,-9.831232
24565920,0.004092275,-0.002899359,0.0001361331,-0.3181073,-0.70147,-9.824467
24585910,0.00396233,-0.002941713,0.000271943,-0.3227131,-0.7064081,-9.816977
24605958,0.003709652,-0.002921142,0.000279085,-0.3160733,-0.6986842,-9.816652
24626373,0.003763785,-0.003227295,0.0001854813,-0.316851,-0.6974134,-9.827838
24645881,0.004147872,-0.003566841,6.628711e-05,-0.3199397,-0.6931014,-9.832949
24666164,0.004313661,-0.003120948,-3.818551e-06,-0.3196991,-0.7020998,-9.82146
24685885,0.004130205,-0.002770208,8.130562e-06,-0.319759,-0.7026519,-9.827527
24705897,0.003871885,-0.002683107,0.0001294625,-0.3197243,-0.6955284,-9.817411
24726306,0.003614992,-0.002467875,0.0001014504,-0.3278614,-0.6976007,-9.828651
24745913,0.003302473,-0.002179508,0.0002265251,-0.325169,-0.7029864,-9.836851
24765922,0.003530577,-0.001931815,0.0003069809,-0.3246332,-0.7038145,-9.83858
24785923,0.003786887,-0.001493521,0.0002667283,-0.3130459,-0.701278,-9.83692
