TimeUS,Roll,Pitch,Yaw,VN,VE,VD
23905415,2.17,0.34,359.98,0.01341393,0.1257168,-0.3247118
23925287,2.17,0.34,359.98,0.01343838,0.1271239,-0.3249156
23945291,2.18,0.34,359.98,0.01372393,0.1283957,-0.3252488
23965310,2.18,0.34,359.98,0.01380271,0.1298821,-0.3255863
23985301,2.18,0.34,359.98,0.0140498,0.1315607,-0.3262896
24005338,2.18,0.34,359.98,0.01396521,0.1332391,-0.3274218
24025309,2.19,0.34,359.98,0.01381247,0.1345068,-0.3279653
24045297,2.19,0.34,359.98,0.01358858,0.1359229,-0.3288543
24065333,2.19,0.34,359.98,0.01391402,0.1372761,-0.3293633
24085300,2.19,0.34,359.98,0.01405309,0.1386074,-0.3301099
24105314,2.19,0.34,359.98,0.01388282,0.1399526,-0.3307929
24125319,2.2,0.34,359.98,0.01387569,0.1417014,-0.3308195
24145325,2.2,0.34,359.98,0.01398355,0.1429888,-0.3309347
24165371,2.2,0.34,359.98,0.0139948,0.1446878,-0.331377
24185272,2.21,0.34,359.98,0.01410805,0.146263,-0.3316926
24205343,2.21,0.34,359.98,0.01412531,0.1478042,-0.3325846
24225323,2.21,0.34,359.98,0.01403285,0.1492363,-0.3329895
24245297,2.21,0.34,359.98,0.01389141,0.1507134,-0.3333398
24265337,2.21,0.33,359.98,0.01394965,0.1520327,-0.3337485
24285287,2.21,0.34,359.98,0.01395861,0.1532516,-0.3341831
24305314,2.22,0.34,359.98,0.01403563,0.1547609,-0.3344835
24325321,2.22,0.33,359.97,0.01440693,0.1558985,-0.334695
24345289,2.22,0.34,359.98,0.01445191,0.1574858,-0.3356532
24365305,2.22,0.34,359.97,0.01473019,0.1587444,-0.3359002
24385300,2.22,0.34,359.97,0.01466085,0.1603646,-0.336034
24405379,2.23,0.33,359.97,0.015014,0.161875,-0.3363988
24425351,2.23,0.34,359.97,0.01534918,0.1634562,-0.3367311
24445281,2.23,0.34,359.97,0.01525464,0.1651506,-0.3370526
24465313,2.24,0.34,359.97,0.01559249,0.1667541,-0.3379169
24485288,2.24,0.34,359.97,0.01557459,0.1683087,-0.3385893
24505311,2.24,0.34,359.97,0.01568397,0.1701614,-0.3394316
24525289,2.24,0.34,359.97,0.01595461,0.1718298,-0.3396409
24545349,2.25,0.33,359.97,0.01612213,0.173573,-0.3398384
24565313,2.25,0.33,359.97,0.01620505,0.1749934,-0.3399808
24585291,2.25,0.33,359.97,0.01643466,0.1764822,-0.3400966
24605341,2.25,0.33,359.97,0.01676066,0.1782806,-0.3407247
24625356,2.25,0.33,359.97,0.01684238,0.1800922,-0.3409368
24645272,2.26,0.33,359.97,0.01714671,0.1818195,-0.3411735
24665332,2.26,0.33,359.97,0.01721115,0.1831997,-0.3413201
24685287,2.26,0.32,359.97,0.01752291,0.1850076,-0.3420076
24705308,2.26,0.32,359.97,0.01751299,0.1868822,-0.342186
24725287,2.26,0.32,359.97,0.01765435,0.1883862,-0.3426085
24745302,2.26,0.33,359.97,0.01779019,0.1900103,-0.3431564
24765307,2.27,0.33,359.97,0.01795803,0.1917203,-0.343724
24785319,2.27,0.33,359.97,0.01852457,0.1933999,-0.3444115
24805340,2.27,0.33,359.97,0.01859186,0.1947037,-0.3449306
24825318,2.28,0.33,359.97,0.01890412,0.1963184,-0.3449502
24845275,2.28,0.33,359.97,0.01907509,0.1981404,-0.3453935
24865386,2.28,0.33,359.97,0.01950186,0.2000054,-0.3458106
24885287,2.28,0.33,359.97,0.02007091,0.201676,-0.3463666
24905316,2.28,0.33,359.97,0.02041273,0.2033134,-0.3469048
24925276,2.28,0.33,359.97,0.02069709,0.205245,-0.3468241
24945351,2.28,0.33,359.97,0.02075504,0.2068747,-0.3469527
24965347,2.28,0.33,359.97,0.02122111,0.2086045,-0.3470521
24985287,2.28,0.33,359.97,0.02133372,0.210254,-0.3471919
25005369,2.28,0.33,359.97,0.02147835,0.2117579,-0.347471
25025334,2.29,0.33,359.97,0.02185157,0.2134331,-0.3476938
25045287,2.29,0.33,359.97,0.0220493,0.215104,-0.3474304
25065305,2.29,0.33,359.97,0.02240704,0.2169502,-0.3475583
25085280,2.3,0.33,359.97,0.02234623,0.2186383,-0.3478902
25105306,2.3,0.34,359.97,0.02259787,0.2203915,-0.3481525
25125357,2.3,0.34,359.97,0.02253761,0.2221264,-0.3479984
25145280,2.3,0.34,359.97,0.02282228,0.2237701,-0.3479877
25165305,2.31,0.34,359.97,0.0230408,0.2255795,-0.348489
25185327,2.31,0.34,359.97,0.02333522,0.2271604,-0.3492219
25205332,2.31,0.34,359.97,0.02338184,0.2290992,-0.3497677
25225352,2.31,0.34,359.97,0.02371013,0.2306521,-0.3497205
25245288,2.31,0.34,359.97,0.02405433,0.232282,-0.3502991
25265362,2.32,0.33,359.97,0.02451469,0.2338849,-0.3509104
25285287,2.31,0.33,359.97,0.02478867,0.2356716,-0.3517996
25305330,2.32,0.33,359.97,0.0249473,0.2373312,-0.3525353
25325359,2.32,0.33,359.97,0.02519908,0.2390774,-0.3528142
25345287,2.32,0.33,359.97,0.02541992,0.2409929,-0.3532231
25365304,2.32,0.33,359.97,0.02591569,0.2425945,-0.3533063
25385317,2.32,0.33,359.97,0.02624849,0.2441849,-0.3533831
25405290,2.32,0.34,359.97,0.02645769,0.2457431,-0.3537467
25425332,2.32,0.34,359.97,0.02651418,0.2473133,-0.3537325
25445293,2.32,0.34,359.97,0.02660598,0.2492894,-0.3539371
25465337,2.32,0.34,359.97,0.02678827,0.2509201,-0.3538605
25485288,2.32,0.34,359.97,0.02727393,0.2527556,-0.354043
25505318,2.33,0.34,359.97,0.02762035,0.2543938,-0.3547125
25525298,2.33,0.34,359.97,0.02819598,0.2561548,-0.3552321
25545290,2.33,0.34,359.97,0.02887858,0.2579984,-0.355845
25565347,2.33,0.33,359.97,0.0289862,0.2599089,-0.3562416
25585288,2.33,0.34,359.97,0.02931904,0.2614857,-0.3569397
25605349,2.33,0.34,359.97,0.02985939,0.2633414,-0.3576272
