TimeUS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,VN,VE,VD,V_horiz_m_s,V_3D_m_s,KE_horiz_J,KE_3D_J
23906234,-0.3213449,-0.7015502,-9.810127,0.003900765,-0.001054333,-3.616797e-06,0.01341393,0.1257168,-0.3247118,0.12643040504674855,0.3484571715139823,0.09550826773870227,0.7254988422676611
23926311,-0.3210211,-0.7014762,-9.817644,0.003738777,-0.001403518,0.000142497,0.01343838,0.1271239,-0.3249156,0.12783221819335844,0.34915787708656154,0.09763792914920054,0.7284195582112766
23945889,-0.3156914,-0.6999531,-9.814856,0.003853605,-0.001434011,0.0002074616,0.01372393,0.1283957,-0.3252488,0.12912707707190968,0.34994368680485566,0.09962596714798104,0.7317019890090851
23965924,-0.3182031,-0.696323,-9.821029,0.003949516,-0.001025599,0.0003747512,0.01380271,0.1298821,-0.3255863,0.13061345529367982,0.35080808635412625,0.10193275135493073,0.7353212228723783
23985877,-0.314434,-0.6878521,-9.821909,0.004297227,-0.0008462526,0.0003633141,0.0140498,0.1315607,-0.3262896,0.13230878528854387,0.3520944727380565,0.10459604762056676,0.7407238434528227
24005988,-0.3168693,-0.6841675,-9.836193,0.004403173,-0.001190082,0.0002954944,0.01396521,0.1332391,-0.3274218,0.133968969762233,0.3537693033240647,0.10723741703344572,0.7477875018470047
24026496,-0.325769,-0.694661,-9.837101,0.004352097,-0.001510361,0.0002349336,0.01381247,0.1345068,-0.3279653,0.1352141396960425,0.35474512199300345,0.10924010985310187,0.7519185069275396
24045897,-0.3368222,-0.6994848,-9.840144,0.004393752,-0.001942942,0.0001455975,0.01358858,0.1359229,-0.3288543,0.13660045479728977,0.3560966650774989,0.11149161339868777,0.7576588884039155
24065980,-0.3270995,-0.7037584,-9.828578,0.004234553,-0.00215247,-4.712964e-05,0.01391402,0.1372761,-0.3293633,0.13797944623664207,0.35709734102995,0.11375400731302814,0.7619231030496958
24085925,-0.3144256,-0.702524,-9.830652,0.003856722,-0.002145837,-0.0001304533,0.01405309,0.1386074,-0.3301099,0.13931798402685885,0.35830440515198536,0.11597176652301588,0.7670827293391255
24105928,-0.3193769,-0.7002408,-9.825677,0.003953163,-0.002048192,-0.0001945839,0.01388282,0.1399526,-0.3307929,0.14063947858945014,0.35944875243673113,0.11818229105402661,0.7719903486292264
24126343,-0.328094,-0.6932493,-9.822408,0.00407482,-0.001991888,3.22899e-06,0.01387569,0.1417014,-0.3308195,0.14237914712111496,0.3601574143554261,0.12112413367124318,0.7750373446132368
24145935,-0.3225099,-0.6960754,-9.811887,0.004071304,-0.002118758,0.0002505823,0.01398355,0.1429888,-0.3309347,0.1436709316321242,0.36077570907716683,0.12333198616135395,0.7777006957542918
24165987,-0.323579,-0.6915445,-9.8181,0.004048983,-0.00231525,0.0003015836,0.0139948,0.1446878,-0.331377,0.14536304171239675,0.3618578865036383,0.12625422302788297,0.7823732518986578
24186093,-0.3195172,-0.6922069,-9.818677,0.004319775,-0.002540936,0.0004127259,0.01410805,0.146263,-0.3316926,0.14694183285845627,0.362783521040527,0.12901161590671992,0.7863810017529109
24205930,-0.3227825,-0.6942911,-9.825605,0.004578156,-0.002483728,0.0003222786,0.01412531,0.1478042,-0.3325846,0.1484776276758088,0.3642226270804659,0.13172249537341071,0.7926322794124417
24226348,-0.3302214,-0.697129,-9.837193,0.004491468,-0.002535196,0.0002615195,0.01403285,0.1492363,-0.3329895,0.14989461003255752,0.3651717420982386,0.13424865484795465,0.7967686473316983
