TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
12798651,0.001422175,0.0007891829,0.0002360837,-0.4169619,-0.7462734,-9.810602
12818539,0.001364731,0.0004099272,0.0001878185,-0.4139262,-0.7467031,-9.813276
12839088,0.001627755,-8.573096e-05,0.0001708814,-0.4128536,-0.7484542,-9.816499
12858471,0.001985816,-0.0001583313,0.0001132858,-0.4109575,-0.7477103,-9.809839
12878493,0.002040224,0.0001479953,-3.305927e-05,-0.4091197,-0.7480351,-9.812149
12898494,0.001827006,0.0002600348,-0.0001151529,-0.4161997,-0.7442663,-9.805019
12918528,0.001534714,-1.145339e-05,-6.48711e-05,-0.4209518,-0.7468624,-9.806202
12938854,0.001098491,8.875276e-05,8.206043e-05,-0.4131432,-0.7534307,-9.796489
12958430,0.0008291659,0.0004612101,8.590409e-05,-0.4141021,-0.7484245,-9.790441
12978478,0.0007228287,0.001153414,-1.64201e-05,-0.4121837,-0.7462807,-9.78628
12998696,0.001131952,0.001184799,-0.000236976,-0.4039992,-0.7478032,-9.792052
13018499,0.001425165,0.001185262,-0.0004080197,-0.4077776,-0.7459106,-9.805821
13038854,0.001813465,0.0008547116,-0.0003394582,-0.418543,-0.7424156,-9.791736
13058430,0.001983051,0.0004902587,-0.0002592028,-0.413252,-0.7468136,-9.783526
13078541,0.002077107,0.0005528522,-0.0001814815,-0.4039169,-0.7460307,-9.793226
13098492,0.001915965,0.0004586615,-0.0001360281,-0.405059,-0.7492561,-9.805826
13118450,0.001939927,-6.08966e-05,-0.0001378772,-0.3972952,-0.7549643,-9.791389
13138858,0.001780829,-0.0004619937,0.0001365503,-0.3966931,-0.7478459,-9.790972
13158690,0.001588551,-0.0001869596,0.0003853808,-0.4049366,-0.7411692,-9.799446
13178490,0.001457965,-0.000155172,0.000603231,-0.4095751,-0.7431456,-9.800241
13198475,0.001622072,-0.0007258038,0.0005381279,-0.4196292,-0.7432908,-9.808334
13218464,0.001588619,-0.0005415666,0.0003546111,-0.4115258,-0.7489747,-9.814401
13238859,0.001525408,0.0001625681,0.0002279161,-0.4110355,-0.7476041,-9.810734
13258534,0.001479249,0.0005035988,0.0001176304,-0.4141898,-0.7449557,-9.800112
13278499,0.001427804,0.000107457,4.902441e-05,-0.4108964,-0.7429585,-9.793328
13298437,0.00123185,8.444238e-05,0.0001093701,-0.4110997,-0.7493409,-9.790748
13318686,0.0009960047,7.543102e-05,0.0001215841,-0.4032443,-0.7481983,-9.796941
13338932,0.001083312,-0.0001378475,0.0001686301,-0.4081452,-0.748116,-9.810171
13358480,0.001193517,-0.0002001894,0.0002132859,-0.4101189,-0.7462097,-9.805954
13378468,0.001446016,9.955181e-05,0.0002646268,-0.4051808,-0.7484649,-9.812141
13398436,0.001640671,0.0003294422,0.0001963668,-0.40416,-0.7491959,-9.81079
13418551,0.002029157,0.0003011751,3.514662e-06,-0.4014842,-0.7465937,-9.805391
13438862,0.002043833,0.0004851159,-0.0001293136,-0.4025069,-0.7447864,-9.80961
13458504,0.001937928,0.0005629095,-0.0001446347,-0.4013007,-0.7443392,-9.798105
13478695,0.001798632,0.000574295,6.702625e-05,-0.3996407,-0.7475888,-9.788349
13498504,0.002052333,0.000495397,0.0002179841,-0.3936389,-0.7500508,-9.782945
13518506,0.002324917,0.0001564123,3.666775e-05,-0.3999014,-0.7510746,-9.7974
13538853,0.002506881,-0.0002634507,5.580204e-05,-0.3984653,-0.7518236,-9.79626
13558466,0.002457341,-0.0008754934,7.841944e-05,-0.4008829,-0.7525721,-9.811934
13578545,0.002177057,-0.001180382,0.0001576195,-0.4045304,-0.7501832,-9.812913
13598479,0.002076857,-0.001667869,0.0001563648,-0.4048,-0.7477704,-9.808434
13618460,0.001753361,-0.001699476,0.0001697436,-0.4107427,-0.7506789,-9.806394
13639039,0.001569278,-0.001452103,2.180043e-05,-0.4133926,-0.7497957,-9.80321
13658511,0.001506135,-0.0006894278,-0.0001047384,-0.4059665,-0.7518694,-9.804915
13678504,0.001300749,-5.690182e-06,8.078037e-05,-0.4069791,-0.7543391,-9.81187
13698409,0.00114813,0.0003408843,0.0002879323,-0.4028097,-0.7513966,-9.803175
13718448,0.0009688115,0.0006813184,0.0004455232,-0.4010721,-0.7523509,-9.809237
