TimeUS,Roll,Pitch,Yaw,VN,VE,VD
12797832,2.12,-0.16,0.01,-0.0008188157,-0.0004253652,-0.1110207
12817932,2.12,-0.16,0.01,-0.0009109228,-0.0003591108,-0.1127428
12837829,2.12,-0.16,0.01,-0.0008548067,-0.0003258307,-0.1148305
12857839,2.12,-0.16,0.01,-0.0009096383,-0.0001916626,-0.1169448
12877859,2.12,-0.16,0.01,-0.0008350296,-0.0001968541,-0.1186689
12897895,2.12,-0.16,0.01,-0.001017491,6.40323e-05,-0.1205974
12917855,2.12,-0.16,0.01,-0.001412031,-7.696985e-05,-0.1222837
12937841,2.12,-0.16,0.01,-0.001347686,-0.0001035857,-0.1233472
12957830,2.12,-0.15,0.01,-0.001450647,4.997453e-05,-0.1243272
12977844,2.12,-0.15,0.01,-0.001346271,0.0001177376,-0.1250604
12997893,2.12,-0.15,0.01,-0.001278261,5.9795e-05,-0.1265005
13017886,2.12,-0.15,0.01,-0.001379448,0.0002927362,-0.1276787
13037842,2.13,-0.15,0.01,-0.001610941,0.0004584955,-0.127717
13057829,2.13,-0.15,0.01,-0.001559421,0.0004717505,-0.1283509
13077899,2.13,-0.15,0.01,-0.001402464,0.0007171427,-0.1290546
13097839,2.13,-0.15,0.01,-0.001278114,0.0005940511,-0.1298043
13117851,2.13,-0.15,0.01,-0.001079361,0.0004977458,-0.1301087
13137841,2.13,-0.16,0.01,-0.0008414704,0.0008095608,-0.1305247
13157902,2.13,-0.15,0.01,-0.0009294139,0.00104404,-0.1312699
13177832,2.13,-0.16,0.01,-0.0010171,0.00119495,-0.1317471
13197847,2.13,-0.16,0.01,-0.001206068,0.001314849,-0.1324451
13217850,2.13,-0.16,0.01,-0.001159588,0.001403252,-0.1336053
13237836,2.13,-0.15,0.01,-0.00119118,0.001628852,-0.1345329
13257918,2.13,-0.15,0.01,-0.001375501,0.001797091,-0.1352238
13277847,2.14,-0.16,0.01,-0.001352454,0.001984686,-0.1359785
13297840,2.13,-0.15,0.01,-0.00138548,0.001927505,-0.1367982
13317839,2.13,-0.16,0.01,-0.001209623,0.002130459,-0.1378102
13337892,2.14,-0.15,0.01,-0.001369759,0.002191783,-0.138575
13357829,2.14,-0.15,0.01,-0.001194119,0.002448517,-0.1390469
13377851,2.14,-0.15,0.01,-0.001196613,0.002461855,-0.1400317
13397828,2.14,-0.15,0.01,-0.000954767,0.0026775,-0.1407219
13417920,2.14,-0.15,0.01,-0.001001078,0.002849296,-0.1415197
13437836,2.14,-0.15,0.01,-0.0007571869,0.00312379,-0.1419611
13457836,2.14,-0.15,0.01,-0.0006115758,0.003249861,-0.1420717
13477850,2.14,-0.15,0.01,-0.0003170647,0.003343422,-0.1420969
13497891,2.15,-0.15,0.01,-8.481561e-05,0.003416507,-0.1423889
13517832,2.15,-0.15,0.01,-6.204322e-05,0.003599489,-0.1430513
13537830,2.15,-0.15,0.01,0.0003684479,0.003661384,-0.142615
