TimeUS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,VN,VE,VD,V_horiz_m_s,V_3D_m_s,KE_horiz_J,KE_3D_J
12798651,-0.4169619,-0.7462734,-9.810602,0.001422175,0.0007891829,0.0002360837,-0.0008188157,-0.0004253652,-0.1110207,0.0009227105201185961,0.11102453433000266,5.087083356026742e-06,0.07365052215858378
12818539,-0.4139262,-0.7467031,-9.813276,0.001364731,0.0004099272,0.0001878185,-0.0009109228,-0.0003591108,-0.1127428,0.00097915316178649,0.11274705181402411,5.728476962562969e-06,0.07595358871420657
12839088,-0.4128536,-0.7484542,-9.816499,0.001627755,-8.573096e-05,0.0001708814,-0.0008548067,-0.0003258307,-0.1148305,0.0009148006009111385,0.11483414383531332,5.000239333078596e-06,0.07879161152757683
12858471,-0.4109575,-0.7477103,-9.809839,0.001985816,-0.0001583313,0.0001132858,-0.0009096383,-0.0001916626,-0.1169448,0.0009296108804578666,0.11694849474631586,5.163453924667259e-06,0.08171977877998866
12878493,-0.4091197,-0.7480351,-9.812149,0.002040224,0.0001479953,-3.305927e-05,-0.0008350296,-0.0001968541,-0.1186689,0.0008579195589115393,0.11867200113413257,4.397755168138747e-06,0.08414618702274787
12898494,-0.4161997,-0.7442663,-9.805019,0.001827006,0.0002600348,-0.0001151529,-0.001017491,6.40323e-05,-0.1205974,0.001019503835463256,0.12060170925335396,6.210343721382631e-06,0.08690501434211237
12918528,-0.4209518,-0.7468624,-9.806202,0.001534714,-1.145339e-05,-6.48711e-05,-0.001412031,-7.696985e-05,-0.1222837,0.0014141272583363996,0.12229187643336237,1.1948541519050883e-05,0.0893579356735168
12938854,-0.4131432,-0.7534307,-9.796489,0.001098491,8.875276e-05,8.206043e-05,-0.001347686,-0.0001035857,-0.1233472,0.001351661034372335,0.12335460565131665,1.091625062224693e-05,0.09091774344396625
12958430,-0.4141021,-0.7484245,-9.790441,0.0008291659,0.0004612101,8.590409e-05,-0.001450647,4.997453e-05,-0.1243272,0.0014515075515675834,0.1243356728136067,1.258857317923988e-05,0.09236967321572323
12978478,-0.4121837,-0.7462807,-9.78628,0.0007228287,0.001153414,-1.64201e-05,-0.001346271,0.0001177376,-0.1250604,0.0013514095411438977,0.12506770148966476,1.0912188793671192e-05,0.09346053148654965
12998696,-0.4039992,-0.7478032,-9.792052,0.001131952,0.001184799,-0.000236976,-0.001278261,5.9795e-05,-0.1265005,0.0012796587928608156,0.1265069722461025,9.784221591222347e-06,0.09562398381058497
13018499,-0.4077776,-0.7459106,-9.805821,0.001425165,0.001185262,-0.0004080197,-0.001379448,0.0002927362,-0.1276787,0.001410167106230478,0.1276864871666438,1.188171332327928e-05,0.09741543805462101
13038854,-0.418543,-0.7424156,-9.791736,0.001813465,0.0008547116,-0.0003394582,-0.001610941,0.0004584955,-0.127717,0.0016749176185715075,0.12772798220448406,1.6761960448282467e-05,0.09747876369222325
13058430,-0.413252,-0.7468136,-9.783526,0.001983051,0.0004902587,-0.0002592028,-0.001559421,0.0004717505,-0.1283509,0.0016292152680021294,0.12836123976185135,1.5859695777210222e-05,0.09844773204236694
13078541,-0.4039169,-0.7460307,-9.793226,0.002077107,0.0005528522,-0.0001814815,-0.001402464,0.0007171427,-0.1290546,0.0015751821873863639,0.1290642126233429,1.4825163567669256e-05,0.09952898660599868
13098492,-0.405059,-0.7492561,-9.805826,0.001915965,0.0004586615,-0.0001360281,-0.001278114,0.0005940511,-0.1298043,0.001409422614550799,0.1298119515707102,1.1869170835783079e-05,0.10068557805431357
13118450,-0.3972952,-0.7549643,-9.791389,0.001939927,-6.08966e-05,-0.0001378772,-0.001079361,0.0004977458,-0.1301087,0.0011886004584125988,0.13011412908189385,8.441307022188374e-06,0.1011548773557699
13138858,-0.3966931,-0.7478459,-9.790972,0.001780829,-0.0004619937,0.0001365503,-0.0008414704,0.0008095608,-0.1305247,0.0011676733802621349,0.13052992289591292,8.146680209762481e-06,0.10180241310799751
13158690,-0.4049366,-0.7411692,-9.799446,0.001588551,-0.0001869596,0.0003853808,-0.0009294139,0.00104404,-0.1312699,0.0013977945911732561,0.1312773418215387,1.167413257170143e-05,0.10297159934248144
13178490,-0.4095751,-0.7431456,-9.800241,0.001457965,-0.000155172,0.000603231,-0.0010171,0.00119495,-0.1317471,0.0015692029545281898,0.1317564448378997,1.47128275271875e-05,0.10372457051902696
13198475,-0.4196292,-0.7432908,-9.808334,0.001622072,-0.0007258038,0.0005381279,-0.001206068,0.001314849,-0.1324451,0.0017842163303324516,0.13245711736982435,1.9020981782714376e-05,0.10483070545299245
13218464,-0.4115258,-0.7489747,-9.814401,0.001588619,-0.0005415666,0.0003546111,-0.001159588,0.001403252,-0.1336053,0.0018203737268066688,0.13361770073083598,1.97997190188568e-05,0.10667579744285659
13238859,-0.4110355,-0.7476041,-9.810734,0.001525408,0.0001625681,0.0002279161,-0.00119118,0.001628852,-0.1345329,0.002017936726040735,0.13454803324850315,2.4330610066066403e-05,0.10816646017496583
13258534,-0.4141898,-0.7449557,-9.800112,0.001479249,0.0005035988,0.0001176304,-0.001375501,0.001797091,-0.1352238,0.0022630817623943682,0.135242735943574,3.0601195903109944e-05,0.1092863208123821
13278499,-0.4108964,-0.7429585,-9.793328,0.001427804,0.000107457,4.902441e-05,-0.001352454,0.001984686,-0.1359785,0.0024016890599559302,0.13599970798715236,3.44644592857542e-05,0.1105131254212295
13298437,-0.4110997,-0.7493409,-9.790748,0.00123185,8.444238e-05,0.0001093701,-0.00138548,0.001927505,-0.1367982,0.0023737797613563477,0.13681879386106072,3.3668111373664364e-05,0.11184830956273266
13318686,-0.4032443,-0.7481983,-9.796941,0.0009960047,7.543102e-05,0.0001215841,-0.001209623,0.002130459,-0.1378102,0.0024499068049234035,0.1378319747641773,3.586220903303974e-05,0.11351097827267202
13338932,-0.4081452,-0.748116,-9.810171,0.001083312,-0.0001378475,0.0001686301,-0.001369759,0.002191783,-0.138575,0.0025845990863516918,0.13859910092578945,3.991391081209075e-05,0.11477802189518709
13358480,-0.4101189,-0.7462097,-9.805954,0.001193517,-0.0002001894,0.0002132859,-0.001194119,0.002448517,-0.1390469,0.0027241798188537406,0.13907358324029567,4.434140522056374e-05,0.11556523279289031
13378468,-0.4051808,-0.7484649,-9.812141,0.001446016,9.955181e-05,0.0002646268,-0.001196613,0.002461855,-0.1400317,0.0027372637273003126,0.1400584507182726,4.476836095894415e-05,0.1172078084651767
13398436,-0.40416,-0.7491959,-9.81079,0.001640671,0.0003294422,0.0001963668,-0.000954767,0.0026775,-0.1407219,0.0028426372041273577,0.1407506082611521,4.828150298887678e-05,0.11836913401215868
13418551,-0.4014842,-0.7465937,-9.805391,0.002029157,0.0003011751,3.514662e-06,-0.001001078,0.002849296,-0.1415197,0.0030200405390822154,0.14155192027290797,5.4495853024757485e-05,0.11972075314436247
13438862,-0.4025069,-0.7447864,-9.80961,0.002043833,0.0004851159,-0.0001293136,-0.0007571869,0.00312379,-0.1419611,0.003214248896030239,0.1419974834607136,6.173009089464887e-05,0.12047562972232442
13458504,-0.4013007,-0.7443392,-9.798105,0.001937928,0.0005629095,-0.0001446347,-0.0006115758,0.003249861,-0.1420717,0.0033069051208745983,0.14211018106514559,6.534033833383817e-05,0.12066693878515156
13478695,-0.3996407,-0.7475888,-9.788349,0.001798632,0.000574295,6.702625e-05,-0.0003170647,0.003343422,-0.1420969,0.003358422351948916,0.14213658216766037,6.739202914706877e-05,0.12071177774206679
13498504,-0.3936389,-0.7500508,-9.782945,0.002052333,0.000495397,0.0002179841,-8.481561e-05,0.003416507,-0.1423889,0.0034175596218279313,0.14242990752288914,6.978628976827331e-05,0.12121051437794805
13518506,-0.3999014,-0.7510746,-9.7974,0.002324917,0.0001564123,3.666775e-05,-6.204322e-05,0.003599489,-0.1430513,0.0036000236696817657,0.143096591860576,7.743701827305708e-05,0.12234789174762077
13538853,-0.3984653,-0.7518236,-9.79626,0.002506881,-0.0002634507,5.580204e-05,0.0003684479,0.003661384,-0.142615,0.0036798759015040728,0.14266246777499142,8.091038273656072e-05,0.12160666377711152
13558466,-0.4008829,-0.7525721,-9.811934,0.002457341,-0.0008754934,7.841944e-05,0.0003605231,0.003794586,-0.1432436,0.0038116741488523924,0.14329430484418085,8.680993740675191e-05,0.12268621535964276
